process,payer,file_code,file_description,number_of_reporting_plans,plan_market_types,example_plan_names,size_bytes,last_modified,reason,location_url
N,Harvard Pilgrim Health Care,UMR--Inc-_Third-Party-Administrator_HPHC-FIVE-STATES_UNITEDHEALTHCARE-OPTIONS-PPO_-S_UCOQ,national-network file,76,group; individual,ASSUMPTION UNIVERSITY - Harvard Pilgrim PPO | Admiral Packaging Inc - HPHC Insurance Company PPO | BENTLEY UNIVERSITY - Best Buy PPO HSA | BOSTON COLLEGE - Harvard Pilgrim PPO | BRANDEIS UNIVERSITY - Harvard Pilgrim PPO,10788566023.0,"Wed, 26 Aug 2026 13:00:51 GMT",BCBSMA self-insured (Third Party TOC) file; N for now,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download/2026-09-01/2026-09-01_UMR--Inc-_Third-Party-Administrator_HPHC-FIVE-STATES_UNITEDHEALTHCARE-OPTIONS-PPO_-S_UCOQ_in-network-rates.json.gz
Y,Harvard Pilgrim Health Care,A008-FS,in-network file,37,group,"ASSUMPTION UNIVERSITY - HMO | BENTLEY UNIVERSITY - HMO | BERKLEE COLLEGE OF MUSIC, INC. - HMO | BOSTON COLLEGE - HMO | BRANDEIS UNIVERSITY - HMO",108389872.0,"Sun, 06 Sep 2026 05:01:34 GMT",HPHC 'HMO' network for employer groups; most widely shared file (37 plans / 36 employer TOCs),https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A008-FS_in-network-rates.zip
Y,Harvard Pilgrim Health Care,A002-FS,in-network file,22,group,ASSUMPTION UNIVERSITY - Harvard Pilgrim PPO | BOSTON COLLEGE - Harvard Pilgrim PPO | BRANDEIS UNIVERSITY - Harvard Pilgrim PPO | Beth Israel Lahey Health (BILH) - Harvard Pilgrim PPO | CCMHG/Cape Cod Municipal Health Group - Harvard Pilgrim PPO,108083062.0,"Sun, 06 Sep 2026 05:01:34 GMT","'Harvard Pilgrim PPO' network for employer groups (22 plans incl. BC, Brandeis, BILH)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A002-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,UMR--Inc-_Third-Party-Administrator_HPHC-THREE-STATES_UNITEDHEALTHCARE-CHOICE-PLUS_-R_UCCH,national-network file,20,group; individual,"Access America | BERKLEE COLLEGE OF MUSIC, INC. - Access America | Dudley-Charlton Reg Schl Dist - Access America | GROUP INSURANCE COMMISSION - Access America | Harvard Pilgrim Health Care - House Acct - Access America",10552558179.0,"Wed, 26 Aug 2026 12:14:58 GMT",BCBSMA self-insured (Third Party TOC) file; N for now,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download/2026-09-01/2026-09-01_UMR--Inc-_Third-Party-Administrator_HPHC-THREE-STATES_UNITEDHEALTHCARE-CHOICE-PLUS_-R_UCCH_in-network-rates.json.gz
Y,Harvard Pilgrim Health Care,A001-FS,in-network file,19,group,"BERKLEE COLLEGE OF MUSIC, INC. - Access America | Dudley-Charlton Reg Schl Dist - Access America | GROUP INSURANCE COMMISSION - Access America | Harvard Pilgrim Health Care - House Acct - Access America | LESLEY UNIVERSITY - Access America",107421636.0,"Sun, 06 Sep 2026 05:01:35 GMT","'Access America' open-access network for employer groups (19 plans incl. MA GIC, house acct)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A001-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A020-FS,in-network file,18,group,ASSUMPTION UNIVERSITY - Best Buy HMO HSA | BRANDEIS UNIVERSITY - Best Buy HMO HSA | Brooke Charter School - Best Buy HMO HSA | CCMHG/Cape Cod Municipal Health Group - Best Buy HMO HSA | CITY OF MARLBOROUGH - Best Buy HMO HSA,108930598.0,"Sun, 06 Sep 2026 05:01:35 GMT",Best Buy HSA variants of the PPO/HMO networks; likely same contracts as A002/A008,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A020-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A010-FS,in-network file,16,group,BENTLEY UNIVERSITY - Best Buy PPO HSA | CCMHG/Cape Cod Municipal Health Group - Best Buy PPO HSA | CLARK UNIVERSITY - Best Buy PPO HSA | Cramer Production Company Inc. - Best Buy PPO HSA | DEAN COLLEGE - Best Buy PPO HSA,107859730.0,"Sun, 06 Sep 2026 05:01:36 GMT",Best Buy HSA variants of the PPO/HMO networks; likely same contracts as A002/A008,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A010-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A014-FS,in-network file,13,group,CITY OF BEVERLY - ChoiceNet HMO | CITY OF BROCKTON - ChoiceNet HMO | CITY OF EVERETT - ChoiceNet HMO | CITY OF WORCESTER - ChoiceNet HMO | Harvard Pilgrim Health Care - House Acct - ChoiceNet HMO,108339952.0,"Sun, 06 Sep 2026 05:01:35 GMT",ChoiceNet HMO/PPO: tiered/select network; candidate secondary network,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A014-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A013-FS,in-network file,12,group,ASSUMPTION UNIVERSITY - Focus Network - MA HMO | CITY OF WORCESTER - Focus Network - MA HMO | CLARK UNIVERSITY - Focus Network - MA HMO | EXCEL ACADEMY CHARTER SCHOOL - Focus Network - MA HMO | Fallon Health Plan - Focus Network - MA HMO,108384977.0,"Sun, 06 Sep 2026 05:01:36 GMT",Focus Network - MA HMO: limited-network MA product; candidate if narrow-network rates wanted,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A013-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,Harvard-Pilgrim_Dental_0379,dental-network file,8,group; individual,Focus Network - MA HMO | HMO | HMO - Flex | Maines Choice Plus HMO | National Access EPO,,,"Dental network, not relevant; HEAD returns 404",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Harvard-Pilgrim_Dental_0379_in-network-rates.zip
Y,Harvard Pilgrim Health Care,A008-P1,in-network file,6,group; individual,HMO,108748364.0,"Sun, 06 Sep 2026 05:01:35 GMT","HPHC flagship 'HMO' network, issuer book (HIOS 36046 alongside 'Focus Network - MA HMO'; group+individual)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A008-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A015-FS,in-network file,6,group,TOWN OF ABINGTON - ChoiceNet PPO | TOWN OF AUBURN - ChoiceNet PPO | TOWN OF BELMONT - ChoiceNet PPO | TOWN OF WEBSTER - ChoiceNet PPO | Town of Merrimac - ChoiceNet PPO,133111152.0,"Sun, 06 Sep 2026 05:01:36 GMT",ChoiceNet HMO/PPO: tiered/select network; candidate secondary network,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A015-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,Harvard-Pilgrim_Dental_0380,dental-network file,6,group; individual,ElevateHealth HMO | ElevateHealth Options | HMO | HMO - LP | NH Local Choice HMO,,,"Dental network, not relevant; HEAD returns 404",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Harvard-Pilgrim_Dental_0380_in-network-rates.zip
N,Harvard Pilgrim Health Care,Harvard-Pilgrim_Dental_0381,dental-network file,5,group; individual,PPO Access | PPO Access - Flex | PPO Access - LP,,,"Dental network, not relevant; HEAD returns 404",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Harvard-Pilgrim_Dental_0381_in-network-rates.zip
N,Harvard Pilgrim Health Care,A031-FS,in-network file,4,group,Admiral Packaging Inc - HPHC Insurance Company PPO | Husson University - HPHC Insurance Company PPO | Saint Joseph's College - HPHC Insurance Company PPO | THE ARC OF BLACKSTONE VALLEY - HPHC Insurance Company PPO,108582086.0,"Sun, 06 Sep 2026 05:01:34 GMT",POS/PPO variants with few plans; secondary,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A031-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A094-P1,in-network file,4,group; individual,PPO Access,108638155.0,"Sun, 06 Sep 2026 05:01:36 GMT",Flex/PPO Access variants; secondary product networks,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A094-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A095-P1,in-network file,4,group; individual,PPO Access - Flex,108669141.0,"Sun, 06 Sep 2026 05:01:35 GMT",Flex/PPO Access variants; secondary product networks,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A095-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A009-P1,in-network file,3,group; individual,POS,108389408.0,"Sun, 06 Sep 2026 05:01:35 GMT",POS/PPO variants with few plans; secondary,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A009-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A099-FS,in-network file,3,group,Beth Israel Lahey Health (BILH) - BILH Network Premier HMO | Exeter Health Resources - BILH Network Premier HMO | JOSLIN DIABETES CENTER - BILH Network Premier HMO,109852954.0,"Sun, 06 Sep 2026 05:01:35 GMT",BILH employer-specific custom network,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A099-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A100-FS,in-network file,3,group,Beth Israel Lahey Health (BILH) - BILH Flex Network HMO | Exeter Health Resources - BILH Flex Network HMO | JOSLIN DIABETES CENTER - BILH Flex Network HMO,109731354.0,"Sun, 06 Sep 2026 05:01:36 GMT",BILH employer-specific custom network,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A100-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A102-P1,in-network file,3,group; individual,National Access EPO,107975646.0,"Sun, 06 Sep 2026 05:01:35 GMT",National Access EPO,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A102-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A010-P1,in-network file,2,group; individual,Best Buy PPO HSA,108023758.0,"Sun, 06 Sep 2026 05:01:34 GMT",Best Buy HSA variants of the PPO/HMO networks; likely same contracts as A002/A008,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A010-P1_in-network-rates.zip
Y,Harvard Pilgrim Health Care,A013-P1,in-network file,2,group; individual,Focus Network - MA HMO,108860794.0,"Sun, 06 Sep 2026 05:01:35 GMT",SET MANUALLY (rule default N): Focus Network - MA HMO: limited-network MA product; candidate if narrow-network rates wanted,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A013-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A020-P1,in-network file,2,group; individual,Best Buy HMO HSA,109347788.0,"Sun, 06 Sep 2026 05:01:35 GMT",Best Buy HSA variants of the PPO/HMO networks; likely same contracts as A002/A008,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A020-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A025-P1,in-network file,2,group; individual,HMO - LP,109358704.0,"Sun, 06 Sep 2026 05:01:36 GMT","New Hampshire / Maine product (ElevateHealth, NH Local, LP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A025-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A035-P1,in-network file,2,group; individual,ElevateHealth HMO,111070035.0,"Sun, 06 Sep 2026 05:01:35 GMT","New Hampshire / Maine product (ElevateHealth, NH Local, LP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A035-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A061-P1,in-network file,2,group; individual,ElevateHealth Options,111088276.0,"Sun, 06 Sep 2026 05:01:36 GMT","New Hampshire / Maine product (ElevateHealth, NH Local, LP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A061-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A067-P1,in-network file,2,group; individual,HMO - Flex,109370647.0,"Sun, 06 Sep 2026 05:01:34 GMT",Flex/PPO Access variants; secondary product networks,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A067-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A068-P1,in-network file,2,group; individual,PPO - Flex,108650592.0,"Sun, 06 Sep 2026 05:01:35 GMT",Flex/PPO Access variants; secondary product networks,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A068-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A081-P1,in-network file,2,group; individual,Maines Choice Plus HMO,109484337.0,"Sun, 06 Sep 2026 05:01:34 GMT",Maine product (Maine's Choice Plus),https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A081-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A087-P1,in-network file,2,group; individual,NH Local Choice HMO,120588068.0,"Sun, 06 Sep 2026 05:01:36 GMT","New Hampshire / Maine product (ElevateHealth, NH Local, LP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A087-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A088-P1,in-network file,2,group; individual,NH Local HMO,120586497.0,"Sun, 06 Sep 2026 05:01:35 GMT","New Hampshire / Maine product (ElevateHealth, NH Local, LP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A088-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A001-P1,in-network file,1,group; individual,Access America,107987101.0,"Sun, 06 Sep 2026 05:01:36 GMT",POS/PPO variants with few plans; secondary,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A001-P1_in-network-rates.zip
Y,Harvard Pilgrim Health Care,A002-P1,in-network file,1,group; individual,Harvard Pilgrim PPO,108099754.0,"Sun, 06 Sep 2026 05:01:35 GMT","'Harvard Pilgrim PPO' network, issuer book",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A002-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A009-FS,in-network file,1,group,Husson University - POS,107929509.0,"Sun, 06 Sep 2026 05:01:35 GMT",POS/PPO variants with few plans; secondary,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A009-FS_in-network-rates.zip
Y,Harvard Pilgrim Health Care,A014-P1,in-network file,1,group; individual,ChoiceNet HMO,109383368.0,"Sun, 06 Sep 2026 05:01:36 GMT",SET MANUALLY (rule default N): ChoiceNet HMO/PPO: tiered/select network; candidate secondary network,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A014-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A015-P1,in-network file,1,group; individual,ChoiceNet PPO,135803266.0,"Sun, 06 Sep 2026 05:01:35 GMT",ChoiceNet HMO/PPO: tiered/select network; candidate secondary network,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A015-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A027-FS,in-network file,1,group,Grappone Management Company Inc - PPO - LP,108627892.0,"Sun, 06 Sep 2026 05:01:34 GMT",POS/PPO variants with few plans; secondary,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A027-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A027-P1,in-network file,1,group; individual,PPO - LP,108622196.0,"Sun, 06 Sep 2026 05:01:35 GMT",POS/PPO variants with few plans; secondary,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A027-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A031-P1,in-network file,1,group; individual,HPHC Insurance Company PPO,108648951.0,"Sun, 06 Sep 2026 05:01:36 GMT",POS/PPO variants with few plans; secondary,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A031-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A043-FS,in-network file,1,group,Harvard Pilgrim Health Care - House Acct - ElevateHealth HMO HSA,110423716.0,"Sun, 06 Sep 2026 05:01:36 GMT","New Hampshire / Maine product (ElevateHealth, NH Local, LP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A043-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A043-P1,in-network file,1,group; individual,ElevateHealth HMO HSA,111053595.0,"Sun, 06 Sep 2026 05:01:36 GMT","New Hampshire / Maine product (ElevateHealth, NH Local, LP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A043-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A074-FS,in-network file,1,group,HMFP - HMFP/LSP Choice Network,109110204.0,"Sun, 06 Sep 2026 05:01:35 GMT","Single-employer custom network (Cape Cod Healthcare, Clergy, UNITE HERE, HMFP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A074-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A075-P1,in-network file,1,group; individual,POS - LP,109426019.0,"Sun, 06 Sep 2026 05:01:34 GMT","New Hampshire / Maine product (ElevateHealth, NH Local, LP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A075-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A077-FS,in-network file,1,group,Beth Israel Lahey Health (BILH) - BILH Domestic and Community HMO,109665457.0,"Sun, 06 Sep 2026 05:01:35 GMT",BILH employer-specific custom network,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A077-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A078-FS,in-network file,1,group,Beth Israel Lahey Health (BILH) - BILH HMO Plus,109650348.0,"Sun, 06 Sep 2026 05:01:36 GMT",BILH employer-specific custom network,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A078-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A079-FS,in-network file,1,group,Beth Israel Lahey Health (BILH) - BILH Tiered POS,109606717.0,"Sun, 06 Sep 2026 05:01:36 GMT",BILH employer-specific custom network,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A079-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A081-FS,in-network file,1,group,Husson University - Maines Choice Plus HMO,108960621.0,"Sun, 06 Sep 2026 05:01:35 GMT",Maine product (Maine's Choice Plus),https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A081-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A089-FS,in-network file,1,group,GROUP INSURANCE COMMISSION - Harvard Pilgrim Quality HMO,109009565.0,"Sun, 06 Sep 2026 05:01:35 GMT",GIC-only custom product (Quality HMO / Explorer POS),https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A089-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A090-FS,in-network file,1,group,GROUP INSURANCE COMMISSION - Harvard Pilgrim Explorer POS,108272233.0,"Sun, 06 Sep 2026 05:01:35 GMT",GIC-only custom product (Quality HMO / Explorer POS),https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A090-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A091-FS,in-network file,1,group,SALVE REGINA UNIVERSITY - Ocean State Access America,108638020.0,"Sun, 06 Sep 2026 05:01:34 GMT",Rhode Island product (Ocean State Access America),https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A091-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A091-P1,in-network file,1,group; individual,Ocean State Access America,108582991.0,"Sun, 06 Sep 2026 05:01:33 GMT",Rhode Island product (Ocean State Access America),https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A091-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A092-FS,in-network file,1,group,"CAPE COD HEALTHCARE, INC. - CCHC DPO-GEO Plan (POS)",108962958.0,"Sun, 06 Sep 2026 05:01:35 GMT","Single-employer custom network (Cape Cod Healthcare, Clergy, UNITE HERE, HMFP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A092-FS_in-network-rates.zip
